Institution,Institution_type,City,Postal_Code,Latitude,Longitude
Vancouver Island University (VIU),Post-Secondary,Nanaimo,V9R 5S5,49.158552,-123.969023
Vancouver Island University (VIU),Post-Secondary,Duncan,V9L 0C7,48.783567,-123.706987
Vancouver Island University (VIU),Post-Secondary,Parksville,V9P 2G3,49.318158,-124.311857
Capilano University ,Post-Secondary,North Vancouver,V7J 3H5,49.318249,-123.019446
Capilano University ,Post-Secondary,Sechelt,V0N 3A0,49.476057,-123.756794
Capilano University ,Post-Secondary,Mount Currie,V0N 2K0,50.318931,-122.723212
University of Fraser Valley (UFV),Post-Secondary,Abbotsford,V2S 7M8,49.031576,-122.286112
University of Fraser Valley (UFV),Post-Secondary,Chilliwack,V2R 0N3,49.100998,-121.972856
University of Fraser Valley (UFV),Post-Secondary,Hope,V0X 1L4,49.376455,-121.427017
BC Institute of Technology (BCIT),Post-Secondary,Burnaby,V5G 3H2,49.251294,-123.002587
Douglas College ,Post-Secondary,New Westminster,V3M 5Z5,49.203855,-122.912873
Douglas College ,Post-Secondary,Coquitlam,V3B 7X3,49.288189,-122.792506
College of New Caledonia (CNC),Post-Secondary,Prince George,V2N 1P8,53.9046,-122.784714
College of New Caledonia (CNC),Post-Secondary,Quesnel,V2J 7K1,52.983085,-122.470797
College of New Caledonia (CNC),Post-Secondary,Burns Lake,V0J 1E0,54.232442,-125.764221
College of New Caledonia (CNC),Post-Secondary,Vanderhoof,V0J 3A2,54.028251,-124.010062
College of New Caledonia (CNC),Post-Secondary,Fort St. James,V0J 1P0,54.440843,-124.251651
College of New Caledonia (CNC),Post-Secondary,Mackenzie,V0J 2C0,55.340217,-123.095647
Selkirk College,Post-Secondary,Castlegar,V1N 4L3,49.311798,-117.652496
Selkirk College,Post-Secondary,Nelson,V1L 1C8,49.477143,-117.295
Selkirk College,Post-Secondary,Trail,V1R 4S6,49.094598,-117.707021
Selkirk College,Post-Secondary,Grand Forks,V0H 1H0,49.030879,-118.439723
Selkirk College,Post-Secondary,Kaslo,V0G 1M0,49.912233,-116.905001
Selkirk College,Post-Secondary,Nakusp,V0G 1R0,50.239357,-117.802571
North Island College (NIC),Post-Secondary,Courtenay,V9N 8N6,49.711299,-124.97156
North Island College (NIC),Post-Secondary,Campbell River,V9W 8C1,49.979487,-125.24617
North Island College (NIC),Post-Secondary,Port Alberni,V9Y 8E3  ,49.256277,-124.788203
North Island College (NIC),Post-Secondary,Port Hardy,V0N 2P0,50.722003,-127.497912
North Island College (NIC),Post-Secondary,Ucluelet,V0R 3A0,48.94223,-125.547983
Langara College,Post-Secondary,Vancouver,V5Y 2Z6,49.224837,-123.108787
Vancouver Community College,Post-Secondary,Vancouver,V5T 0E6,49.263575,-123.089707
Vancouver Community College,Post-Secondary,Vancouver,V5T 4V5,49.263541,-123.080911
